titulo,subtitulo,data_publicacao,link,fonte
CEO do Observatório participa de reportagem do Estadão sobre os desafios da segurança viária no Brasil,Reportagem marca início de série destinada a Semana Nacional de Trânsito 2026,21 SET 2026 - 14H08,https://www.onsv.org.br/comunicacao/materias/ceo-do-observatorio-participa-de-reportagem-do-estadao-sobre-os-desafios-da-seguranca-viaria-no-brasil,Observatório Nacional de Segurança Viária
Infraestrutura viária pode evitar mais de 50 mil mortes,"Levantamento que será apresentado pelo Observatório na Paving 2026 estima economia de até R$ 90,3 bilhões  em cinco  anos com a instalação de medidas de baixo custo em rodovias brasileiras, e indica que os sinistros com v",16 SET 2026 - 22H09,https://www.onsv.org.br/comunicacao/materias/infraestrutura-viaria-pode-evitar-mais-de-50-mil-mortes,Observatório Nacional de Segurança Viária
Observatório apresenta atualização do IRIS em webinar que abre programação para a Semana Nacional de Trânsito,"Live será realizado no dia 18, às 10h, no YouTube do Observatório Nacional de Segurança Viária, e reunirá especialistas para discutir indicadores, metodologia e o cenário da segurança viária nas Unidades da Federação",14 SET 2026 - 13H48,https://www.onsv.org.br/comunicacao/materias/observatorio-apresenta-atualizacao-do-iris-em-webinar-que-abre-programacao-para-a-semana-nacional-de-transito,Observatório Nacional de Segurança Viária
Estudo do Observatório fomenta melhoria nos portais dos Detrans,"Trabalho do Observatório fomenta melhoria nos portais dos Detrans  Em parceria com a AND, Observatório divulga estudo que avalia a qualidade e a disponibilidade de informações nos portais dos Departamentos Estaduais de Trânsito de todo o Brasil  O Ob",10 SET 2026 - 13H35,https://www.onsv.org.br/comunicacao/materias/em-parceria-com-a-and-observatorio-divulga-estudo-que-avalia-a-qualidade-e-a-disponibilidade-de-informacoes-nos-portais-dos-departamentos-estaduais-de-transito-de-todo-o-brasil,Observatório Nacional de Segurança Viária
Observatório destaca tecnologia e prevenção como caminhos para reduzir sinistros no transporte de cargas,"CEO do Observatório Nacional de Segurança Viária participou da LogVale 2026, em São José dos Campos",10 SET 2026 - 07H00,https://www.onsv.org.br/comunicacao/materias/observatorio-destaca-tecnologia-e-prevencao-como-caminhos-para-reduzir-sinistros-no-transporte-de-cargas,Observatório Nacional de Segurança Viária
Observatório e Loga se reúnem em parceria por ações de segurança e conscientização na coleta,"Encontro abordou a construção conjunta de iniciativas voltadas à segurança de motoristas e coletores e à conscientização da sociedade sobre a relação entre mobilidade, transporte e a atividade de coleta nas ruas",08 SET 2026 - 10H37,https://www.onsv.org.br/comunicacao/materias/observatorio-e-loga-se-reunem-em-parceria-por-acoes-de-seguranca-e-conscientizacao-na-coleta,Observatório Nacional de Segurança Viária
"Observatório participa da Cúpula Nacional Movimento Brasil sobre Rodas, na capital paulista","Evento reúne representantes dos setores de mobilidade, saúde, engenharia e motofrete para discutir soluções para a segurança de usuários de veículos de duas rodas",03 SET 2026 - 14H05,https://www.onsv.org.br/comunicacao/materias/observatorio-participa-da-cupula-nacional-movimento-brasil-sobre-rodas-na-capital-paulista,Observatório Nacional de Segurança Viária
LogVale 2026 reúne setor de logística e recebe participação do Observatório em painel,"Evento reúne especialistas, empresas e representantes do poder público para discutir tendências e desafios da logística e do comércio exterior",03 SET 2026 - 13H48,https://www.onsv.org.br/comunicacao/materias/logvale-2026-reune-setor-de-logistica-e-recebe-participacao-do-observatorio-em-painel,Observatório Nacional de Segurança Viária
Observatório promove webinar sobre informações disponibilizadas pelos Detrans,Encontro on-line apresenta estudo que avalia os portais dos Departamentos Estaduais de Trânsito de todas as unidades da federação,02 SET 2026 - 10H15,https://www.onsv.org.br/comunicacao/materias/observatorio-promove-webinar-sobre-informacoes-disponibilizadas-pelos-detrans,Observatório Nacional de Segurança Viária
Observadores Certificados realizam visita técnica ao Memorial da Segurança no Transporte em Curitiba/PR,"Encontro destacou tecnologias, educação e iniciativas desenvolvidas para promover um trânsito mais seguro",01 SET 2026 - 14H42,https://www.onsv.org.br/comunicacao/materias/observadores-certificados-realizam-visita-tecnica-ao-memorial-da-seguranca-no-transporte-em-curitiba-pr,Observatório Nacional de Segurança Viária
